APPLICATION	TruckMaker 14.0 - Truck_Generic #2 (win64-14.0)
COMPILED	jetbrains@b5882e3d7d42 2024-11-26 13:07:28
 
		I/O Configuration: default
FIRST_INIT	(internal default used)	2025-03-07 16:51:09
TIME	0.000
SIM_END			0s	0m
IDLE	16:51:10
TIME	6.962
SIM_START	TempScenario(Volvo)	2025-03-07 16:52:20
TIME	0.000
SIMULATE	TempScenario(Volvo)

TIME	43.000
		Vel=54.1329   RPM=1345.3333   CDF=0.0000
		Vel=54.1139   RPM=1343.2306   CDF=0.0000
		Vel=54.0947   RPM=1341.0768   CDF=0.0000
		Vel=54.0752   RPM=1338.8723   CDF=0.0000
		Vel=54.0555   RPM=1336.6177   CDF=0.0000
		Vel=54.0356   RPM=1334.3132   CDF=0.0000
		Vel=54.0155   RPM=1331.9595   CDF=0.0000
		Vel=53.9952   RPM=1329.5569   CDF=0.0000
		Vel=53.9746   RPM=1327.1059   CDF=0.0000
		Vel=53.9539   RPM=1324.6068   CDF=0.0000
		Vel=53.9329   RPM=1322.0603   CDF=0.0000
		Vel=53.9118   RPM=1319.4666   CDF=0.0000
		Vel=53.8904   RPM=1316.8263   CDF=0.0000
		Vel=53.8688   RPM=1314.1398   CDF=0.0000
		Vel=53.8470   RPM=1311.4075   CDF=0.0000
		Vel=53.8250   RPM=1308.6306   CDF=0.0000
		Vel=53.8028   RPM=1305.8109   CDF=0.0000
		Vel=53.7803   RPM=1302.9511   CDF=0.0000
		Vel=53.7575   RPM=1300.0544   CDF=0.0000
		Vel=53.7344   RPM=1297.1240   CDF=0.0000
		Vel=53.7111   RPM=1294.1633   CDF=0.0000
		Vel=53.6874   RPM=1291.1755   CDF=0.0000
		Vel=53.6635   RPM=1288.1637   CDF=0.0000
		Vel=53.6392   RPM=1285.1311   CDF=0.0000
		Vel=53.6146   RPM=1282.0809   CDF=0.0000
		Vel=53.5897   RPM=1279.0175   CDF=0.0000
		Vel=53.5644   RPM=1275.9455   CDF=0.0000
		Vel=53.5387   RPM=1272.8699   CDF=0.0000
		Vel=53.5126   RPM=1269.7953   CDF=0.0000
		Vel=53.4861   RPM=1266.7263   CDF=0.0000
		Vel=53.4591   RPM=1263.6670   CDF=0.0000
		Vel=53.4318   RPM=1260.6210   CDF=0.0000
